Frame #,# Obj,X,Y,Z,Doppler,Intensity
40,64,1.75,3.2441,2.2285,-0.51373,931
40,64,1.0879,5.1563,2.4277,-0.51373,495
40,64,0.91406,5.5273,1.666,-0.51373,428
40,64,0.91992,5.7246,1.0332,-0.51373,341
40,64,0.74805,5.7949,1.2578,-0.51373,275
40,64,0.75195,5.7168,1.7344,-0.51373,349
40,64,-2.0527,6.1719,3.3066,-0.51373,299
40,64,-1.834,6.1133,3.625,-0.51373,528
40,64,-2.3066,6.4785,2.6895,-0.51373,293
40,64,-2.3203,6.8125,1.8379,-0.51373,517
40,64,-2.5684,6.8359,1.582,-0.51373,512
40,64,-2.584,6.8984,1.4941,-0.51373,434
40,64,-2.834,6.752,1.875,-0.51373,311
40,64,-2.6133,6.8594,1.9785,-0.51373,403
40,64,0.24414,7.3652,2.6289,-0.51373,881
40,64,-0.32227,0.16797,0.1582,-0.25686,294
40,64,-0.37109,0.16992,0.16406,-0.25686,449
41,64,0.1875,0.18945,-0.23047,0,196
41,64,0.21094,0.22852,-0.24609,0,310
41,64,0.24805,0.25195,-0.26172,0,227
41,64,-0.3125,0.42383,0.033203,0,48
41,64,-0.35742,0.43945,0.076172,0,40
41,64,-0.63867,1.2012,0.087891,0,252
41,64,-0.70313,1.2129,0.10352,0,194
41,64,-0.80273,1.6172,0.80664,0,242
41,64,2.5137,0.93164,-0.048828,0,890
41,64,2.4688,1.082,-0.39453,0,967
41,64,1.8438,2.3086,1.8242,0,1239
41,64,1.8672,2.4102,1.75,0,962
41,64,-2.2656,5.3672,4.3164,0,326
41,64,-2.5078,5.375,4.248,0,645
41,64,-2.5234,5.1426,4.5898,0,377
41,64,-2.3066,6.7813,1.7891,0,356
41,64,-2.5527,6.5,2.5293,0,602
41,64,-1.8789,6.4922,3.2891,0,444
41,64,-2.127,6.5547,3.1094,0,413
41,64,0.17383,0.17578,0.88867,0.25686,80
41,64,0.57422,0.77539,0.058594,0.25686,173
41,64,0.63086,0.78906,0.037109,0.25686,177
41,64,-0.39648,0.9707,-0.11328,0.25686,93
41,64,2.0605,1.6445,0.060547,0.25686,91
41,64,2.2617,1.4277,0.17188,0.25686,130
41,64,2.2148,1.5684,-0.25391,0.25686,112
41,64,1.7363,2.1602,2.0898,0.25686,233
41,64,1.7578,2.2891,2.0078,0.25686,183
41,64,-2.7188,4.9063,4.5957,0.25686,72
41,64,-2.5078,5.0059,4.6777,0.25686,136
41,64,-2.5234,4.5879,5.1426,0.25686,73
41,64,-2.3066,6.5254,2.5742,0.25686,88
41,64,-2.5527,6.2539,3.0898,0.25686,141
41,64,0.57422,0.77148,0.09375,0.51373,75
41,64,0.59961,0.80273,0.12891,0.51373,78
41,64,0.072266,0.26367,0.50195,-1.5412,11
41,64,-0.61719,1.1426,-0.22266,-0.77059,50
41,64,-0.5957,1.2148,-0.16016,-0.77059,96
41,64,-0.61523,1.2617,-0.089844,-0.77059,72
41,64,-0.78516,1.7246,0.38281,-0.77059,84
41,64,-0.74219,1.8125,0.28125,-0.77059,121
41,64,-0.75781,1.8613,0.22461,-0.77059,84
41,64,2.1758,1.9023,0.24414,-0.77059,141
41,64,1.8438,2.7383,1.0723,-0.77059,400
41,64,0.90039,5.5371,1.3008,-0.77059,132
41,64,0.72461,5.5547,1.5059,-0.77059,167
41,64,0.73047,5.582,1.5742,-0.77059,165
41,64,0.73633,5.6777,1.3828,-0.77059,148
41,64,-2.2656,6.1895,3.0234,-0.77059,128
41,64,-2.0527,6.3105,3.0313,-0.77059,250
41,64,-2.293,6.1777,3.2324,-0.77059,112
41,64,-2.0762,7.0273,0.90039,-0.77059,258
41,64,-2.0898,7.0176,1.248,-0.77059,368
41,64,-3.0352,6.7559,0.99023,-0.77059,111
41,64,-1.4082,7.0137,2.3047,-0.77059,226
41,64,-1.6543,7.0742,2.0898,-0.77059,238
41,64,0.48633,7.1875,2.9336,-0.77059,328
41,64,0.19727,0.10547,-0.27148,-0.51373,195
41,64,0.22266,0.14258,-0.29492,-0.51373,313
41,64,0.24805,0.17188,-0.32031,-0.51373,223
41,64,-0.3125,0.42383,-0.029297,-0.51373,53
41,64,-0.35742,0.44531,0.015625,-0.51373,48
41,64,-0.59375,1.0254,-0.070313,-0.51373,74
41,64,-0.61719,1.1582,-0.11719,-0.51373,220
42,64,0.1543,0.12891,-0.23438,0,109
42,64,0.1875,0.14648,-0.25977,0,171
42,64,0.21094,0.16992,-0.28906,0,130
42,64,0.37891,0.16602,-0.32617,0,44
42,64,0.21094,0.49805,0.80078,0,118
42,64,0.2207,0.58984,0.79102,0,213
42,64,-0.36328,0.96875,-0.20313,0,171
42,64,-1.9277,1.2266,0.0039063,0,283
42,64,-1.9648,1.248,0.058594,0,452
42,64,-1.9277,1.3809,0.099609,0,360
42,64,2.1504,1.209,0.63867,0,501
42,64,2.2695,1.1211,0.56445,0,877
42,64,2.3906,1.0879,0.24805,0,1391
42,64,2.4297,1.1328,-0.0039063,0,1372
42,64,2.4688,1.1074,-0.31445,0,761
42,64,0.21094,0.39063,0.85938,0.25686,214
42,64,0.2207,0.49219,0.85547,0.25686,377
42,64,-0.36328,0.98242,-0.12109,0.25686,308
42,64,-0.37695,1.0273,-0.10156,0.25686,109
42,64,2.3066,1.2305,0.3418,0.25686,161
42,64,2.3457,1.25,0.34961,0.25686,197
42,64,2.3848,1.2305,0.47461,0.25686,148
42,64,0.18164,0.14844,-0.9375,0.51373,105
42,64,0.2207,0.28516,0.94336,0.51373,183
42,64,-0.36328,0.98633,-0.082031,0.51373,158
42,64,-0.39648,0.24219,-0.25195,-1.798,12
42,64,0.90625,5.5371,1.4766,-1.0275,79
42,64,-0.61523,1.0664,0.0039063,-0.77059,99
42,64,-0.63672,1.1016,-0.056641,-0.77059,172
42,64,-0.66016,1.1348,-0.12695,-0.77059,130
42,64,-0.70898,1.7188,0.33984,-0.77059,192
42,64,0.87891,5.1035,2.1973,-0.77059,421
42,64,0.88672,5.2793,1.8691,-0.77059,393
42,64,0.90625,5.3965,1.9258,-0.77059,381
