Frame,Obj,X,Y,Z,Doppler,Intensity
62,1,0.25977,2.7363,-0.33984,0.25686,183
63,4,0.60547,2.1211,1.6738,-2.0549,146
63,4,0.43945,2.6543,0.82227,-2.0549,170
63,4,-0.51953,2.4082,-1.2656,-2.0549,131
63,4,-0.61523,1.8027,-2.0684,-2.0549,135
66,11,0.33984,2.7012,0.087891,1.0275,119
66,11,-0.51953,1.2676,-2.4063,1.0275,129
66,11,0,2.7148,-0.73633,-2.0549,189
66,11,0.51953,2.2617,-1.5117,-1.0275,146
66,11,0.43945,2.4805,-1.252,-1.0275,170
66,11,0.3457,2.6074,-0.86328,-0.77059,127
66,11,-0.68164,0,-2.6934,1.0275,87
66,11,0.51953,2.6973,0.3457,1.0275,116
66,11,-0.60547,2.4414,1.1563,-1.0275,133
66,11,-0.70313,2.3164,1.4336,-1.0275,140
66,11,-0.69141,1.9727,1.8164,-0.77059,86
67,4,-0.3457,0.14258,2.7441,1.0275,143
67,4,0.16992,2.7188,-0.09375,-1.0275,187
67,4,0.085938,2.7578,-0.2207,-1.0275,213
67,4,0.60547,2.6973,-0.15625,1.0275,105
69,1,0.16992,2.709,0.24609,1.0275,163
70,1,0,2.7578,-0.25586,-1.0275,148
71,3,0.16992,2.5547,-0.93164,1.0275,178
71,3,0.085938,2.7324,-0.43359,-1.0275,178
71,3,-0.76563,1.2832,2.2773,1.0275,99
72,6,0.085938,1.582,-2.2715,1.798,178
72,6,0,1.0508,2.6094,1.798,191
72,6,0.51953,2.3457,1.377,-2.0549,187
72,6,0.43945,2.7637,0.28711,-2.0549,209
72,6,-0.51953,2.2012,-1.5977,-2.0549,162
72,6,-0.61523,1.3496,-2.3906,-2.0549,167
73,2,0.3457,2.6973,-0.51953,-1.0275,186
73,2,-0.7793,1.1699,2.3848,-1.0275,131
74,3,-0.60547,0,-2.7617,1.0275,147
74,3,-0.085938,2.7598,-0.19531,-1.0275,142
74,3,0.3457,2.7168,-0.40234,1.0275,144
75,2,-0.3457,2.7168,-0.4043,-2.0549,130
75,2,0.69141,1.3672,2.3066,-2.0549,111
76,6,-0.25977,0.03125,-2.7559,1.0275,171
76,6,0.25586,2.7129,0.035156,-1.0275,183
76,6,0.25977,2.75,-0.19531,-1.0275,178
76,6,0.7793,2.6504,-0.18359,1.0275,87
76,6,-0.68164,1.3223,-2.2832,-1.0275,109
76,6,-0.69141,1.0527,-2.4668,-1.0275,113
77,2,-0.25977,2.7031,-0.54102,-1.798,134
77,2,0.69141,1.5391,2.1953,-1.798,90
78,7,-0.51953,0.97852,-2.5371,1.0275,127
78,7,-0.17383,1.8086,2.0898,1.798,147
78,7,-0.17578,1.7344,2.207,1.798,185
78,7,0.17578,2.7012,-0.76563,-2.0549,223
78,7,0.25977,2.627,-0.83398,-1.0275,213
78,7,0.51953,2.7109,0.21289,1.0275,114
78,7,-0.7793,1.9082,1.8496,-1.0275,130
79,4,-0.26367,2.7227,-0.6582,-2.0549,157
79,4,0.16992,2.7188,-0.080078,-1.0275,179
79,4,0.085938,2.7539,-0.2832,-1.0275,176
79,4,0.70313,1.3945,2.3398,-2.0549,97
80,5,0.17383,2.7227,-0.47656,0.25686,163
80,5,0.16992,2.5781,-0.86328,1.0275,186
80,5,0.085938,2.3926,-1.3906,1.0275,206
80,5,-0.86523,0.79297,2.5078,0.25686,84
80,5,-0.76563,1.3203,2.2578,1.0275,95
83,4,0.16992,2.6992,0.33398,1.0275,216
83,4,0.17383,2.748,0.28516,1.0275,185
83,4,-0.3457,2.748,-0.015625,-2.0549,133
83,4,0.69141,0.34961,-2.6582,-2.0549,114
84,4,0.3457,2.7324,-0.28711,-1.0275,198
84,4,0.35156,2.7754,-0.30078,-1.0275,160
84,4,-0.7793,1.1992,2.3711,-1.0275,138
84,4,-0.70313,1.0879,2.4961,-1.0275,124
85,2,0.085938,2.709,-0.28906,-1.0275,197
85,2,0.085938,2.7559,-0.26172,-1.0275,212
87,9,0.51953,2.666,-0.54102,1.798,106
87,9,-0.35156,1.3809,2.4258,1.798,139
87,9,-0.085938,2.7188,-0.51953,-2.0549,140
87,9,0,2.7949,-0.32422,-2.0549,168
87,9,0,2.7246,0.019531,-1.0275,152
87,9,-0.085938,2.7676,-0.058594,-1.0275,162
87,9,-0.43359,1.4258,2.334,1.798,105
87,9,0.70313,2.666,-0.55273,1.798,89
87,9,0.86523,1.6367,2.0586,-2.0549,78
89,10,0.16992,2.5996,-0.80273,1.0275,227
89,10,0.17383,2.5371,-1.0977,1.0275,212
89,10,0.69141,1.5273,2.2031,-2.0549,122
89,10,-0.35156,2.582,-1.0605,-2.0549,138
89,10,0.085938,2.7168,-0.52539,-1.0275,173
89,10,0.17578,2.6328,-0.97656,-1.0275,172
89,10,-0.76563,0.92969,2.4434,1.0275,126
89,10,-0.7793,1.2617,2.3398,1.0275,127
89,10,-0.3457,2.6172,-0.83398,-2.0549,120
89,10,0.70313,1.9922,1.8574,-2.0549,120
90,4,-0.3457,2.5801,-0.94531,-2.0549,146
90,4,0.16992,2.7188,0.021484,-1.0275,183
90,4,0.085938,2.748,-0.32422,-1.0275,195
90,4,0.69141,2.0078,1.7773,-2.0549,115
91,6,-0.25977,0.66406,2.6758,1.0275,182
91,6,-0.35156,2.627,-0.94336,-2.0549,163
91,6,0.25977,2.7324,-0.35938,-1.0275,188
91,6,0.69141,2.6641,-0.29883,1.0275,105
91,6,0.70313,1.9453,1.9063,-2.0549,120
91,6,-0.7793,0,2.6641,-1.0275,111
94,4,0,2.4766,-1.1387,1.0275,220
94,4,-0.085938,1.0488,-2.5605,1.0275,222
94,4,0.25586,2.7031,-0.2207,-1.0275,146
94,4,-0.68164,0,-2.6465,-1.0275,106
95,12,0.25586,2.6426,-0.61719,1.0275,188
95,12,0.3457,2.6016,-0.88477,1.0275,179
95,12,0.43945,2.5645,-1.0684,1.0275,125
95,12,-0.3457,2.5313,-1.0664,-2.0549,158
95,12,0.52734,2.5371,1.0957,-2.0549,149
95,12,-0.17383,2.7031,-0.57227,-1.798,160
95,12,-0.68164,0,2.6777,1.0275,112
95,12,-0.51953,0,2.752,1.0275,133
95,12,-0.52734,1.8633,2.041,1.0275,98
95,12,0.60547,2.1621,1.6211,-2.0549,128
95,12,-0.52734,2.0938,-1.8027,-2.0549,149
95,12,0.7793,1.8184,1.9375,-1.798,92
96,7,-0.25977,0.52148,2.707,1.0275,151
96,7,0.16992,2.7188,-0.060547,-1.0275,190
96,7,0.085938,2.75,-0.31055,-1.0275,229
96,7,0.087891,2.7676,-0.49219,-1.0275,159
96,7,0.69141,2.6523,-0.38672,1.0275,103
96,7,-0.76563,1.0137,-2.4102,-1.0275,96
96,7,-2.5488,1.1387,-0.3418,-1.0275,80
98,5,0.25977,2.7246,-0.41406,0,96
98,5,0.16992,2.7188,-0.027344,1.0275,180
98,5,0.60547,1.3281,2.3535,-2.0549,179
98,5,-0.7793,1.1934,2.373,0,51
98,5,-0.51953,2.6797,-0.4668,-2.0549,167
99,4,0.43945,2.1934,-1.707,-2.0549,153
99,4,0.17383,2.6973,-0.59961,-0.77059,148
99,4,-0.61523,2.2422,1.584,-2.0549,113
99,4,-0.86523,1,2.4316,-0.77059,78
107,10,0.25977,2.6914,-0.59961,0.25686,130
107,10,0.17383,2.7344,-0.39453,0.51373,157
107,10,-0.085938,2.7344,-0.42578,-2.0549,159
107,10,0,2.7969,-0.29297,-2.0549,179
107,10,0,2.7207,-0.13672,-1.0275,161
107,10,0,2.748,-0.33789,-1.0275,211
107,10,0.087891,2.6719,-0.875,-1.0275,174
107,10,-0.7793,1.5371,2.168,0.25686,75
107,10,-0.7793,1.0625,2.4355,0.51373,82
107,10,-0.79102,2.3477,1.332,-1.0275,113
108,10,-0.3457,1.1992,2.4727,1.0275,172
108,10,0.52734,2.7305,-0.42578,1.0275,150
108,10,-0.35156,2.7441,-0.50391,-2.0549,169
108,10,0.25586,2.7129,0.03125,-1.0275,197
108,10,0.17383,2.7344,-0.39258,-1.0275,188
108,10,0.60547,2.666,-0.43359,1.0275,128
108,10,-0.43945,1.834,2.0859,1.0275,130
108,10,0.70313,1.6719,2.1504,-2.0549,133
108,10,-0.68164,1.25,-2.3242,-1.0275,126
108,10,-0.7793,0,-2.6738,-1.0275,123
109,5,0.3457,2.7402,-0.18945,0.25686,153
109,5,0.085938,2.707,0.30469,1.0275,192
109,5,-0.25977,2.7246,-0.42188,-2.0549,142
109,5,-0.7793,1.1602,2.3906,0.25686,86
109,5,0.7793,0.94141,2.4844,-2.0549,99
